SampleID,T2,Prediction T2,Q,Prediction Q,Combined Index,Combined Prediction,Lifestyle
36703_3#10,75.70209406047661,Urban,74.32197216578862,Rural,1.2190516405085026,Urban,Urban
36703_3#12,52.04521099773651,Rural,14.793565256415512,Rural,0.7904160293691117,Rural,Rural
36703_3#13,79.81163248909256,Urban,8.678264051438108,Rural,1.1937089242162993,Urban,Rural
36703_3#14,67.29567110525124,Rural,19.41413480246426,Rural,1.0224016211984919,Urban,Rural
36703_3#15,64.4000705138632,Rural,14.280729960676283,Rural,0.9727643634960313,Rural,Rural
36703_3#16,47.56727575630635,Rural,17.05766691744088,Rural,0.7270547802077115,Rural,Rural
36703_3#17,46.025174192848866,Rural,5.036156209649052,Rural,0.6884206757161737,Rural,Rural
36703_3#18,62.155160067980404,Rural,12.212282594944076,Rural,0.9367919746659006,Rural,Rural
36703_3#19,71.88322374424513,Urban,10.940551517660772,Rural,1.0792308059722846,Urban,Rural
36703_3#1,124.62306328628958,Urban,159.81113426216055,Rural,2.056041791726934,Urban,Urban
36703_3#21,43.9494062201323,Rural,18.167698892962722,Rural,0.6749185127494827,Rural,Rural
36703_3#22,33.84846091711253,Rural,17.960731130064694,Rural,0.5250136896902069,Rural,Rural
36703_3#23,53.64713296510566,Rural,16.831836853084713,Rural,0.8168237065376814,Rural,Rural
36703_3#24,38.353417652191574,Rural,18.340770720104274,Rural,0.5922482044424899,Rural,Rural
36703_3#25,41.325949499820304,Rural,16.648460966400034,Rural,0.6340597953034786,Rural,Rural
36703_3#26,56.88226799101828,Rural,13.416596263822033,Rural,0.8602624358699539,Rural,Rural
36703_3#27,39.14788128367838,Rural,22.3319632477692,Rural,0.6092594725813975,Rural,Rural
36703_3#28,46.06118571216368,Rural,13.406089137093959,Rural,0.6999477198448474,Rural,Rural
36703_3#29,36.35677863298414,Rural,19.35478713299059,Rural,0.5640023440235292,Rural,Rural
36703_3#2,88.3656949562936,Urban,79.79017366936263,Rural,1.4138294522205768,Urban,Urban
36703_3#30,42.4842870211416,Rural,4.206433221450232,Rural,0.634877014575378,Rural,Rural
36703_3#31,38.37954972995242,Rural,19.27803627230119,Rural,0.5938663802562106,Rural,Rural
36703_3#32,40.975510562541324,Rural,16.748407330530622,Rural,0.6289997526312736,Rural,Rural
36703_3#3,88.60162870170019,Urban,70.0455125737483,Rural,1.4045252885152284,Urban,Urban
36703_3#5,64.23997884852005,Rural,85.45969471558632,Rural,1.0638835782627514,Urban,Urban
36703_3#6,30.83268139123654,Rural,46.54341660145055,Rural,0.5178808903457164,Rural,Urban
36703_3#7,129.43548317069613,Urban,111.97682433966905,Rural,2.064503337562129,Urban,Urban
36703_3#8,137.71539837480637,Urban,122.9917001042096,Rural,2.201627620487523,Urban,Urban
36703_3#9,124.74735051064677,Urban,115.16523031399167,Rural,1.9992423117067109,Urban,Urban
37035_1#10,29.360934911051565,Rural,18.452004483605055,Rural,0.4591818248992948,Rural,Rural
37035_1#11,34.489102165185365,Rural,21.80778899155001,Rural,0.5395569547432301,Rural,Rural
37035_1#12,40.59861758509758,Rural,4.962940866381072,Rural,0.6079368032719867,Rural,Rural
37035_1#13,31.41411231315237,Rural,17.045978149750393,Rural,0.4877503417177744,Rural,Rural
37035_1#14,32.33794014164663,Rural,18.416592248019953,Rural,0.5032359531881894,Rural,Rural
37035_1#15,75.14884663660692,Urban,9.577742207920737,Rural,1.1258169631050061,Urban,Rural
37035_1#16,34.50578867586908,Rural,17.150500183227425,Rural,0.5336869787973726,Rural,Rural
37035_1#17,25.16213767520037,Rural,16.48313115786359,Rural,0.3943958127745246,Rural,Rural
37035_1#18,40.08080428868121,Rural,14.536497172901317,Rural,0.6128405315531775,Rural,Rural
37035_1#1,54.30656452905129,Rural,18.534424376119304,Rural,0.8288286492655857,Rural,Rural
37035_1#20,44.995072582090835,Rural,17.671396105041623,Rural,0.6897568890110668,Rural,Rural
37035_1#21,67.51995152261802,Urban,14.144108735908505,Rural,1.0188020852341424,Rural,Rural
37035_1#22,83.17750956757843,Urban,8.407373723776695,Rural,1.2432144154886344,Urban,Rural
37035_1#23,43.172596832375106,Rural,14.293085258925744,Rural,0.6583218921368923,Rural,Rural
37035_1#24,67.13324696668897,Rural,14.896915087388898,Rural,1.01406231834144,Rural,Rural
37035_1#25,38.45833062241362,Rural,13.299712061930876,Rural,0.5871811274667253,Rural,Rural
37035_1#26,38.60635042491694,Rural,5.937389346373663,Rural,0.5797037355975874,Rural,Rural
37035_1#27,39.55853133483995,Rural,7.723399163697624,Rural,0.5961549687703239,Rural,Rural
37035_1#29,80.83996640462716,Urban,68.81307426310839,Rural,1.2879271270881274,Urban,Urban
37035_1#2,69.88061827107784,Urban,12.746745978374557,Rural,1.0519370546853304,Urban,Rural
37035_1#30,93.91870459841188,Urban,126.879781764248,Rural,1.5579407546182515,Urban,Urban
37035_1#31,89.00522971747412,Urban,91.37785370395969,Rural,1.4385233292120785,Urban,Urban
37035_1#32,49.70626673201103,Rural,83.44998865046558,Rural,0.8459449857464674,Rural,Urban
37035_1#3,94.98458265315861,Urban,4.509943981037048,Rural,1.4130024410691626,Urban,Rural
37035_1#4,50.581604310288746,Rural,15.923281131961414,Rural,0.7702183486603114,Rural,Rural
37035_1#5,53.24152784560542,Rural,15.514754871636224,Rural,0.8090852342139545,Rural,Rural
37035_1#6,60.372488734338106,Rural,14.005699346450811,Rural,0.9127394919085453,Rural,Rural
37035_1#7,29.266316328791724,Rural,17.78496528495163,Rural,0.4569040381485925,Rural,Rural
37035_1#8,69.05612446188637,Urban,12.90430625038798,Rural,1.0399301505402496,Urban,Rural
37035_1#9,72.4204483263523,Urban,11.816366118184769,Rural,1.0883394700487452,Urban,Rural
37035_2#10,100.39305246133365,Urban,74.56177252872806,Rural,1.5851325396626497,Urban,Urban
