,,F1,F1,Precision,Precision,Recall,Recall,Specificity,Specificity,Accuracy,Accuracy,Balanced Accuracy,Balanced Accuracy,Selected features,Selected features
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Treatment,Index,,,,,,,,,,,,,,
With CLR,Combined,0.925688814615641,0.008234251249233973,0.9365101274464536,0.0030414757042769632,0.9164999999999999,0.016674997917707688,0.9095502645502644,0.005135047161351998,0.9135733099209833,0.008780796918033124,0.9130251322751322,0.007143194763070587,186.23999999999998,2.7403162834485557
With CLR,Q,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.40825285338015804,0.0,0.5,0.0,186.23999999999998,2.7403162834485557
With CLR,T2,0.9065797505973279,0.015866099703946042,0.9449544073914307,0.004326413911664563,0.873,0.028303906287138404,0.9260582010582011,0.006557965744042605,0.8946356453028972,0.01594759325327112,0.8995291005291005,0.01341982946006855,186.23999999999998,2.7403162834485557
Without compositional treatment,Combined,0.9255479276004873,0.003854786439098272,0.8704172979479768,0.0052878386826966176,0.9894999999999999,0.0043779751788545545,0.7835185185185185,0.009656829555799308,0.9051755926251097,0.004920531002012044,0.8865092592592593,0.005483369134287347,82.36,3.755647599135052
Without compositional treatment,Q,0.8965466701968813,0.01763854762288882,0.9668837448174361,0.005390166290936759,0.8390000000000001,0.029230881691191694,0.9564285714285713,0.007530316903482326,0.8869095697980685,0.017175867577600975,0.8977142857142857,0.014523422411098878,82.36,3.755647599135052
Without compositional treatment,T2,0.9314574419143572,0.006728318165123985,0.8919049336597485,0.004929144125730039,0.976,0.011005049346146122,0.8261111111111111,0.007979552095883092,0.9146180860403863,0.007966759506251564,0.9010555555555555,0.007562382158173562,82.36,3.755647599135052
