Treatment,Index,Selected features,F1,Precision,Recall,Specificity,Accuracy,Balanced Accuracy,TP,FP,TN,FN,Fold,Experiment,Seed,Samples,CLR input features,Pseudocount
With CLR,Combined,189,0.9367088607594937,0.9487179487179487,0.925,0.9285714285714286,0.9264705882352942,0.9267857142857143,37,2,26,3,3,1,7,338,202,0.0005
Without compositional treatment,T2,77,0.963855421686747,0.9302325581395349,1.0,0.8888888888888888,0.9552238805970149,0.9444444444444444,40,3,24,0,4,1,7,338,202,0.0005
Without compositional treatment,Q,77,0.9230769230769231,0.9473684210526315,0.9,0.9259259259259259,0.9104477611940298,0.912962962962963,36,2,25,4,4,1,7,338,202,0.0005
Without compositional treatment,Combined,77,0.9302325581395349,0.8695652173913043,1.0,0.7777777777777778,0.9104477611940298,0.8888888888888888,40,6,21,0,4,1,7,338,202,0.0005
With CLR,T2,190,0.8648648648648649,0.9411764705882353,0.8,0.9259259259259259,0.8507462686567164,0.8629629629629629,32,2,25,8,4,1,7,338,202,0.0005
With CLR,Q,190,0.0,0.0,0.0,1.0,0.40298507462686567,0.5,0,0,27,40,4,1,7,338,202,0.0005
With CLR,Combined,190,0.9090909090909091,0.9459459459459459,0.875,0.9259259259259259,0.8955223880597015,0.900462962962963,35,2,25,5,4,1,7,338,202,0.0005
Without compositional treatment,T2,79,0.9512195121951219,0.9285714285714286,0.975,0.8888888888888888,0.9402985074626866,0.9319444444444445,39,3,24,1,5,1,7,338,202,0.0005
Without compositional treatment,Q,79,0.8767123287671232,0.9696969696969697,0.8,0.9629629629629629,0.8656716417910447,0.8814814814814815,32,1,26,8,5,1,7,338,202,0.0005
Without compositional treatment,Combined,79,0.9512195121951219,0.9285714285714286,0.975,0.8888888888888888,0.9402985074626866,0.9319444444444445,39,3,24,1,5,1,7,338,202,0.0005
With CLR,T2,187,0.9230769230769231,0.9473684210526315,0.9,0.9259259259259259,0.9104477611940298,0.912962962962963,36,2,25,4,5,1,7,338,202,0.0005
With CLR,Q,187,0.0,0.0,0.0,1.0,0.40298507462686567,0.5,0,0,27,40,5,1,7,338,202,0.0005
With CLR,Combined,187,0.9367088607594937,0.9487179487179487,0.925,0.9259259259259259,0.9253731343283582,0.9254629629629629,37,2,25,3,5,1,7,338,202,0.0005
Without compositional treatment,T2,92,0.9195402298850575,0.851063829787234,1.0,0.75,0.8970588235294118,0.875,40,7,21,0,1,2,21,338,204,0.0005
Without compositional treatment,Q,92,0.9382716049382716,0.926829268292683,0.95,0.8928571428571429,0.9264705882352942,0.9214285714285715,38,3,25,2,1,2,21,338,204,0.0005
Without compositional treatment,Combined,92,0.9090909090909091,0.8333333333333334,1.0,0.7142857142857143,0.8823529411764706,0.8571428571428572,40,8,20,0,1,2,21,338,204,0.0005
With CLR,T2,191,0.9512195121951219,0.9285714285714286,0.975,0.8928571428571429,0.9411764705882353,0.9339285714285714,39,3,25,1,1,2,21,338,204,0.0005
With CLR,Q,191,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,1,2,21,338,204,0.0005
With CLR,Combined,191,0.9523809523809523,0.9090909090909091,1.0,0.8571428571428571,0.9411764705882353,0.9285714285714286,40,4,24,0,1,2,21,338,204,0.0005
Without compositional treatment,T2,87,0.9523809523809523,0.9090909090909091,1.0,0.8571428571428571,0.9411764705882353,0.9285714285714286,40,4,24,0,2,2,21,338,204,0.0005
Without compositional treatment,Q,87,0.9066666666666666,0.9714285714285714,0.85,0.9642857142857143,0.8970588235294118,0.9071428571428571,34,1,27,6,2,2,21,338,204,0.0005
Without compositional treatment,Combined,87,0.9411764705882353,0.8888888888888888,1.0,0.8214285714285714,0.9264705882352942,0.9107142857142857,40,5,23,0,2,2,21,338,204,0.0005
With CLR,T2,189,0.95,0.95,0.95,0.9285714285714286,0.9411764705882353,0.9392857142857143,38,2,26,2,2,2,21,338,204,0.0005
With CLR,Q,189,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,2,2,21,338,204,0.0005
With CLR,Combined,189,0.95,0.95,0.95,0.9285714285714286,0.9411764705882353,0.9392857142857143,38,2,26,2,2,2,21,338,204,0.0005
Without compositional treatment,T2,86,0.9069767441860465,0.8478260869565217,0.975,0.75,0.8823529411764706,0.8625,39,7,21,1,3,2,21,338,204,0.0005
Without compositional treatment,Q,86,0.9066666666666666,0.9714285714285714,0.85,0.9642857142857143,0.8970588235294118,0.9071428571428571,34,1,27,6,3,2,21,338,204,0.0005
Without compositional treatment,Combined,86,0.896551724137931,0.8297872340425532,0.975,0.7142857142857143,0.8676470588235294,0.8446428571428571,39,8,20,1,3,2,21,338,204,0.0005
With CLR,T2,190,0.9230769230769231,0.9473684210526315,0.9,0.9285714285714286,0.9117647058823529,0.9142857142857144,36,2,26,4,3,2,21,338,204,0.0005
With CLR,Q,190,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,3,2,21,338,204,0.0005
With CLR,Combined,190,0.9367088607594937,0.9487179487179487,0.925,0.9285714285714286,0.9264705882352942,0.9267857142857143,37,2,26,3,3,2,21,338,204,0.0005
Without compositional treatment,T2,82,0.9523809523809523,0.9090909090909091,1.0,0.8518518518518519,0.9402985074626866,0.9259259259259259,40,4,23,0,4,2,21,338,204,0.0005
Without compositional treatment,Q,82,0.88,0.9428571428571428,0.825,0.9259259259259259,0.8656716417910447,0.8754629629629629,33,2,25,7,4,2,21,338,204,0.0005
Without compositional treatment,Combined,82,0.9411764705882353,0.8888888888888888,1.0,0.8148148148148148,0.9253731343283582,0.9074074074074074,40,5,22,0,4,2,21,338,204,0.0005
With CLR,T2,192,0.8947368421052632,0.9444444444444444,0.85,0.9259259259259259,0.8805970149253731,0.887962962962963,34,2,25,6,4,2,21,338,204,0.0005
With CLR,Q,192,0.0,0.0,0.0,1.0,0.40298507462686567,0.5,0,0,27,40,4,2,21,338,204,0.0005
With CLR,Combined,192,0.9230769230769231,0.9473684210526315,0.9,0.9259259259259259,0.9104477611940298,0.912962962962963,36,2,25,4,4,2,21,338,204,0.0005
Without compositional treatment,T2,90,0.9629629629629629,0.9512195121951219,0.975,0.9259259259259259,0.9552238805970149,0.950462962962963,39,2,25,1,5,2,21,338,204,0.0005
Without compositional treatment,Q,90,0.8611111111111112,0.96875,0.775,0.9629629629629629,0.8507462686567164,0.8689814814814815,31,1,26,9,5,2,21,338,204,0.0005
Without compositional treatment,Combined,90,0.9629629629629629,0.9512195121951219,0.975,0.9259259259259259,0.9552238805970149,0.950462962962963,39,2,25,1,5,2,21,338,204,0.0005
With CLR,T2,189,0.88,0.9428571428571428,0.825,0.9259259259259259,0.8656716417910447,0.8754629629629629,33,2,25,7,5,2,21,338,204,0.0005
With CLR,Q,189,0.0,0.0,0.0,1.0,0.40298507462686567,0.5,0,0,27,40,5,2,21,338,204,0.0005
With CLR,Combined,189,0.88,0.9428571428571428,0.825,0.9259259259259259,0.8656716417910447,0.8754629629629629,33,2,25,7,5,2,21,338,204,0.0005
Without compositional treatment,T2,91,0.9090909090909091,0.8333333333333334,1.0,0.7142857142857143,0.8823529411764706,0.8571428571428572,40,8,20,0,1,3,42,338,202,0.0005
Without compositional treatment,Q,91,0.8648648648648649,0.9411764705882353,0.8,0.9285714285714286,0.8529411764705882,0.8642857142857143,32,2,26,8,1,3,42,338,202,0.0005
Without compositional treatment,Combined,91,0.9090909090909091,0.8333333333333334,1.0,0.7142857142857143,0.8823529411764706,0.8571428571428572,40,8,20,0,1,3,42,338,202,0.0005
With CLR,T2,190,0.8571428571428571,0.8918918918918919,0.825,0.8571428571428571,0.8382352941176471,0.8410714285714285,33,4,24,7,1,3,42,338,202,0.0005
With CLR,Q,190,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,1,3,42,338,202,0.0005
With CLR,Combined,190,0.8571428571428571,0.8918918918918919,0.825,0.8571428571428571,0.8382352941176471,0.8410714285714285,33,4,24,7,1,3,42,338,202,0.0005
Without compositional treatment,T2,80,0.963855421686747,0.9302325581395349,1.0,0.8928571428571429,0.9558823529411765,0.9464285714285714,40,3,25,0,2,3,42,338,202,0.0005
Without compositional treatment,Q,80,0.9473684210526315,1.0,0.9,1.0,0.9411764705882353,0.95,36,0,28,4,2,3,42,338,202,0.0005
Without compositional treatment,Combined,80,0.9411764705882353,0.8888888888888888,1.0,0.8214285714285714,0.9264705882352942,0.9107142857142857,40,5,23,0,2,3,42,338,202,0.0005
With CLR,T2,188,0.9230769230769231,0.9473684210526315,0.9,0.9285714285714286,0.9117647058823529,0.9142857142857144,36,2,26,4,2,3,42,338,202,0.0005
With CLR,Q,188,0.0,0.0,0.0,1.0,0.4117647058823529,0.5,0,0,28,40,2,3,42,338,202,0.0005
With CLR,Combined,188,0.95,0.95,0.95,0.9285714285714286,0.9411764705882353,0.9392857142857143,38,2,26,2,2,3,42,338,202,0.0005
Without compositional treatment,T2,83,0.9176470588235294,0.8666666666666667,0.975,0.7857142857142857,0.8970588235294118,0.8803571428571428,39,6,22,1,3,3,42,338,202,0.0005
Without compositional treatment,Q,83,0.918918918918919,1.0,0.85,1.0,0.9117647058823529,0.925,34,0,28,6,3,3,42,338,202,0.0005
