"Index","n","statistic","df","p_value","p_value_holm_3_indices"
"Observed",186,31.8022055337763,3,5.76064326771463e-07,1.15212865354293e-06
"Chao1",186,38.0909079504789,3,2.70394744385199e-08,8.11184233155597e-08
"Shannon",186,5.07693914510526,3,0.1662492002743,0.1662492002743
