number,value,datetime_start,datetime_complete,duration,params_algorithm,params_filter_criteria,params_filter_threshold,params_k,state
38,0.37120637613779695,2025-03-03 19:26:23.455967,2025-03-03 19:26:23.629370,0 days 00:00:00.173403,kmeans,abundance,1.4000000000000001,4,COMPLETE
39,0.3339421524994369,2025-03-03 19:26:23.630374,2025-03-03 19:26:23.916043,0 days 00:00:00.285669,gaussian_mixture,abundance,0.2,5,COMPLETE
40,0.039013406906784634,2025-03-03 19:26:23.917042,2025-03-03 19:26:25.350267,0 days 00:00:01.433225,gaussian_mixture,presence,15.0,4,COMPLETE
41,0.5358740423297366,2025-03-03 19:26:25.351268,2025-03-03 19:26:25.529500,0 days 00:00:00.178232,gaussian_mixture,abundance,1.9000000000000001,3,COMPLETE
42,0.5280676654269059,2025-03-03 19:26:25.530307,2025-03-03 19:26:25.712986,0 days 00:00:00.182679,gaussian_mixture,abundance,1.5,3,COMPLETE
43,0.42703736658277425,2025-03-03 19:26:25.714984,2025-03-03 19:26:25.910833,0 days 00:00:00.195849,gaussian_mixture,abundance,1.4000000000000001,3,COMPLETE
44,0.39863776763987147,2025-03-03 19:26:25.911825,2025-03-03 19:26:26.080639,0 days 00:00:00.168814,kmeans,abundance,1.8,2,COMPLETE
45,0.4664773526319735,2025-03-03 19:26:26.081644,2025-03-03 19:26:26.265250,0 days 00:00:00.183606,gaussian_mixture,abundance,1.5,3,COMPLETE
46,0.686834778853726,2025-03-03 19:26:26.266249,2025-03-03 19:26:26.444031,0 days 00:00:00.177782,gaussian_mixture,abundance,1.9500000000000002,2,COMPLETE
47,0.4073418756632619,2025-03-03 19:26:26.445024,2025-03-03 19:26:26.611343,0 days 00:00:00.166319,kmeans,abundance,2.0,2,COMPLETE
48,0.019052374010821983,2025-03-03 19:26:26.612340,2025-03-03 19:26:27.971399,0 days 00:00:01.359059,gaussian_mixture,presence,15.0,2,COMPLETE
49,0.6617034404556786,2025-03-03 19:26:27.973029,2025-03-03 19:26:28.153531,0 days 00:00:00.180502,gaussian_mixture,abundance,2.3000000000000003,2,COMPLETE
50,0.5691169393529935,2025-03-03 19:26:28.154535,2025-03-03 19:26:28.325214,0 days 00:00:00.170679,gaussian_mixture,abundance,2.4000000000000004,2,COMPLETE
51,0.3767385668903693,2025-03-03 19:26:28.325978,2025-03-03 19:26:28.496149,0 days 00:00:00.170171,gaussian_mixture,abundance,2.35,2,COMPLETE
52,0.456951417191935,2025-03-03 19:26:28.497143,2025-03-03 19:26:28.668185,0 days 00:00:00.171042,gaussian_mixture,abundance,2.3000000000000003,2,COMPLETE
53,0.43296797785514346,2025-03-03 19:26:28.669194,2025-03-03 19:26:28.911422,0 days 00:00:00.242228,gaussian_mixture,abundance,2.5500000000000003,2,COMPLETE
54,0.6997070428222841,2025-03-03 19:26:28.912184,2025-03-03 19:26:29.090639,0 days 00:00:00.178455,gaussian_mixture,abundance,2.5,2,COMPLETE
55,0.37493897041951785,2025-03-03 19:26:29.092630,2025-03-03 19:26:29.270216,0 days 00:00:00.177586,gaussian_mixture,abundance,2.5500000000000003,2,COMPLETE
56,0.06100875557506473,2025-03-03 19:26:29.271215,2025-03-03 19:26:29.436115,0 days 00:00:00.164900,kmeans,abundance,2.5,2,COMPLETE
57,0.4429600713607291,2025-03-03 19:26:29.437916,2025-03-03 19:26:29.614548,0 days 00:00:00.176632,gaussian_mixture,abundance,2.15,2,COMPLETE
58,0.4893133005213281,2025-03-03 19:26:29.616536,2025-03-03 19:26:29.818764,0 days 00:00:00.202228,gaussian_mixture,abundance,2.45,2,COMPLETE
59,0.4446846075417337,2025-03-03 19:26:29.819757,2025-03-03 19:26:30.032952,0 days 00:00:00.213195,gaussian_mixture,abundance,2.15,2,COMPLETE
60,0.49057271328132634,2025-03-03 19:26:30.033949,2025-03-03 19:26:30.215174,0 days 00:00:00.181225,gaussian_mixture,abundance,2.6500000000000004,2,COMPLETE
61,0.42207248123277913,2025-03-03 19:26:30.216168,2025-03-03 19:26:30.396892,0 days 00:00:00.180724,gaussian_mixture,abundance,1.9500000000000002,3,COMPLETE
62,0.45717037381574654,2025-03-03 19:26:30.397891,2025-03-03 19:26:30.569566,0 days 00:00:00.171675,gaussian_mixture,abundance,2.3000000000000003,2,COMPLETE
63,0.4682627503303297,2025-03-03 19:26:30.570565,2025-03-03 19:26:30.837365,0 days 00:00:00.266800,gaussian_mixture,abundance,2.1,3,COMPLETE
64,0.3703763521129916,2025-03-03 19:26:30.839387,2025-03-03 19:26:31.118352,0 days 00:00:00.278965,gaussian_mixture,abundance,2.25,2,COMPLETE
65,0.5476211096630306,2025-03-03 19:26:31.120341,2025-03-03 19:26:31.326500,0 days 00:00:00.206159,gaussian_mixture,abundance,1.85,3,COMPLETE
66,0.46474468941364,2025-03-03 19:26:31.328501,2025-03-03 19:26:31.688350,0 days 00:00:00.359849,gaussian_mixture,abundance,1.8,2,COMPLETE
67,0.3138907184738038,2025-03-03 19:26:31.691344,2025-03-03 19:26:31.918473,0 days 00:00:00.227129,gaussian_mixture,abundance,2.6500000000000004,3,COMPLETE
68,0.011995715575402738,2025-03-03 19:26:31.920468,2025-03-03 19:26:33.195344,0 days 00:00:01.274876,kmeans,presence,10.0,2,COMPLETE
69,0.34762759556509415,2025-03-03 19:26:33.196347,2025-03-03 19:26:33.520932,0 days 00:00:00.324585,gaussian_mixture,abundance,1.9500000000000002,2,COMPLETE
70,0.4470274609833777,2025-03-03 19:26:33.521928,2025-03-03 19:26:33.744062,0 days 00:00:00.222134,gaussian_mixture,abundance,2.2,3,COMPLETE
71,0.3436677993517311,2025-03-03 19:26:33.745072,2025-03-03 19:26:33.965110,0 days 00:00:00.220038,gaussian_mixture,abundance,1.85,3,COMPLETE
72,0.5564017821508891,2025-03-03 19:26:33.966106,2025-03-03 19:26:34.162190,0 days 00:00:00.196084,gaussian_mixture,abundance,1.7000000000000002,3,COMPLETE
73,0.5458767166284114,2025-03-03 19:26:34.163188,2025-03-03 19:26:34.386858,0 days 00:00:00.223670,gaussian_mixture,abundance,1.75,3,COMPLETE
74,0.5392799635030606,2025-03-03 19:26:34.388853,2025-03-03 19:26:34.601693,0 days 00:00:00.212840,gaussian_mixture,abundance,1.7000000000000002,3,COMPLETE
75,0.4400931754035823,2025-03-03 19:26:34.602693,2025-03-03 19:26:34.805919,0 days 00:00:00.203226,gaussian_mixture,abundance,1.7000000000000002,3,COMPLETE
76,0.4790243940889953,2025-03-03 19:26:34.806929,2025-03-03 19:26:35.003368,0 days 00:00:00.196439,gaussian_mixture,abundance,1.6500000000000001,3,COMPLETE
77,0.5477893324620723,2025-03-03 19:26:35.004366,2025-03-03 19:26:35.187952,0 days 00:00:00.183586,gaussian_mixture,abundance,1.75,3,COMPLETE
78,0.517424468410576,2025-03-03 19:26:35.189758,2025-03-03 19:26:35.374352,0 days 00:00:00.184594,gaussian_mixture,abundance,1.1,2,COMPLETE
79,0.45910021184584515,2025-03-03 19:26:35.375349,2025-03-03 19:26:35.557416,0 days 00:00:00.182067,gaussian_mixture,abundance,1.55,3,COMPLETE
80,0.01633559098172811,2025-03-03 19:26:35.558434,2025-03-03 19:26:36.890157,0 days 00:00:01.331723,gaussian_mixture,presence,10.0,2,COMPLETE
81,0.47856613552831756,2025-03-03 19:26:36.891145,2025-03-03 19:26:37.071862,0 days 00:00:00.180717,gaussian_mixture,abundance,1.75,3,COMPLETE
82,0.6227517028516819,2025-03-03 19:26:37.073885,2025-03-03 19:26:37.253599,0 days 00:00:00.179714,gaussian_mixture,abundance,1.7000000000000002,3,COMPLETE
83,0.5152409871619216,2025-03-03 19:26:37.255165,2025-03-03 19:26:37.434946,0 days 00:00:00.179781,gaussian_mixture,abundance,2.0,3,COMPLETE
84,0.44672323737887576,2025-03-03 19:26:37.435651,2025-03-03 19:26:37.620113,0 days 00:00:00.184462,gaussian_mixture,abundance,1.3,3,COMPLETE
85,0.518716195793613,2025-03-03 19:26:37.621111,2025-03-03 19:26:37.801069,0 days 00:00:00.179958,gaussian_mixture,abundance,1.8,3,COMPLETE
86,0.4686591761020667,2025-03-03 19:26:37.802066,2025-03-03 19:26:37.979676,0 days 00:00:00.177610,gaussian_mixture,abundance,1.4500000000000002,2,COMPLETE
87,0.4082880392417886,2025-03-03 19:26:37.980678,2025-03-03 19:26:38.149789,0 days 00:00:00.169111,kmeans,abundance,1.85,3,COMPLETE
88,0.29707534664905033,2025-03-03 19:26:38.150788,2025-03-03 19:26:38.321855,0 days 00:00:00.171067,gaussian_mixture,abundance,2.4000000000000004,2,COMPLETE
89,0.40075135236429926,2025-03-03 19:26:38.322845,2025-03-03 19:26:38.503335,0 days 00:00:00.180490,gaussian_mixture,abundance,1.6,3,COMPLETE
90,0.472727088637045,2025-03-03 19:26:38.504339,2025-03-03 19:26:38.695546,0 days 00:00:00.191207,gaussian_mixture,abundance,1.2000000000000002,2,COMPLETE
91,0.5897556573190137,2025-03-03 19:26:38.696547,2025-03-03 19:26:38.893674,0 days 00:00:00.197127,gaussian_mixture,abundance,1.7000000000000002,3,COMPLETE
92,0.4699804903778622,2025-03-03 19:26:38.894672,2025-03-03 19:26:39.075490,0 days 00:00:00.180818,gaussian_mixture,abundance,1.6500000000000001,3,COMPLETE
93,0.48494809480720474,2025-03-03 19:26:39.077497,2025-03-03 19:26:39.258158,0 days 00:00:00.180661,gaussian_mixture,abundance,1.75,3,COMPLETE
94,0.5148281170234352,2025-03-03 19:26:39.259154,2025-03-03 19:26:39.439649,0 days 00:00:00.180495,gaussian_mixture,abundance,1.9500000000000002,4,COMPLETE
95,0.5419355736038276,2025-03-03 19:26:39.441641,2025-03-03 19:26:39.623080,0 days 00:00:00.181439,gaussian_mixture,abundance,1.55,3,COMPLETE
96,0.5502508169773599,2025-03-03 19:26:39.625080,2025-03-03 19:26:39.797983,0 days 00:00:00.172903,gaussian_mixture,abundance,2.1,2,COMPLETE
97,0.007322238316650256,2025-03-03 19:26:39.798988,2025-03-03 19:26:41.107880,0 days 00:00:01.308892,gaussian_mixture,presence,10.0,2,COMPLETE
98,0.31368253979884964,2025-03-03 19:26:41.108880,2025-03-03 19:26:41.287415,0 days 00:00:00.178535,gaussian_mixture,abundance,2.1,2,COMPLETE
99,0.3095611129230632,2025-03-03 19:26:41.288415,2025-03-03 19:26:41.466550,0 days 00:00:00.178135,gaussian_mixture,abundance,2.35,2,COMPLETE
100,0.5633999664195461,2025-03-03 19:26:41.467559,2025-03-03 19:26:41.644065,0 days 00:00:00.176506,gaussian_mixture,abundance,2.0,2,COMPLETE
101,0.7370462256441576,2025-03-03 19:26:41.645066,2025-03-03 19:26:41.825166,0 days 00:00:00.180100,gaussian_mixture,abundance,2.1,2,COMPLETE
102,0.4686591761020667,2025-03-03 19:26:41.826164,2025-03-03 19:26:42.003265,0 days 00:00:00.177101,gaussian_mixture,abundance,2.1,2,COMPLETE
103,0.22453582469564118,2025-03-03 19:26:42.005254,2025-03-03 19:26:42.174870,0 days 00:00:00.169616,gaussian_mixture,abundance,2.0,2,COMPLETE
104,0.5480281844655771,2025-03-03 19:26:42.175859,2025-03-03 19:26:42.350969,0 days 00:00:00.175110,gaussian_mixture,abundance,2.25,2,COMPLETE
105,0.28092925010777464,2025-03-03 19:26:42.351968,2025-03-03 19:26:42.532412,0 days 00:00:00.180444,kmeans,abundance,2.25,2,COMPLETE
106,0.3262570588866727,2025-03-03 19:26:42.534428,2025-03-03 19:26:42.717536,0 days 00:00:00.183108,gaussian_mixture,abundance,2.15,2,COMPLETE
107,0.6593605721339548,2025-03-03 19:26:42.718793,2025-03-03 19:26:42.893887,0 days 00:00:00.175094,gaussian_mixture,abundance,2.3000000000000003,2,COMPLETE
108,0.41124316499748215,2025-03-03 19:26:42.894909,2025-03-03 19:26:43.070961,0 days 00:00:00.176052,gaussian_mixture,abundance,2.45,2,COMPLETE
109,0.37967965009207144,2025-03-03 19:26:43.072967,2025-03-03 19:26:43.248307,0 days 00:00:00.175340,gaussian_mixture,abundance,2.3000000000000003,2,COMPLETE
110,0.6267852987459875,2025-03-03 19:26:43.249308,2025-03-03 19:26:43.421692,0 days 00:00:00.172384,gaussian_mixture,abundance,2.6,2,COMPLETE
111,0.25590110134648036,2025-03-03 19:26:43.422696,2025-03-03 19:26:43.595142,0 days 00:00:00.172446,gaussian_mixture,abundance,2.6,2,COMPLETE
112,0.5056076284783793,2025-03-03 19:26:43.596159,2025-03-03 19:26:43.776682,0 days 00:00:00.180523,gaussian_mixture,abundance,2.45,2,COMPLETE
113,0.6430983158829674,2025-03-03 19:26:43.777687,2025-03-03 19:26:43.949314,0 days 00:00:00.171627,gaussian_mixture,abundance,2.5500000000000003,2,COMPLETE
114,0.35087719924209376,2025-03-03 19:26:43.950314,2025-03-03 19:26:44.123068,0 days 00:00:00.172754,gaussian_mixture,abundance,2.6500000000000004,2,COMPLETE
115,0.5149947055693138,2025-03-03 19:26:44.124074,2025-03-03 19:26:44.293189,0 days 00:00:00.169115,gaussian_mixture,abundance,2.5500000000000003,2,COMPLETE
116,0.01798845612287221,2025-03-03 19:26:44.295184,2025-03-03 19:26:45.677772,0 days 00:00:01.382588,gaussian_mixture,presence,10.0,2,COMPLETE
117,0.2,2025-03-03 19:26:45.679773,2025-03-03 19:26:45.848547,0 days 00:00:00.168774,gaussian_mixture,abundance,2.35,2,COMPLETE
118,0.4007431578274464,2025-03-03 19:26:45.849343,2025-03-03 19:26:46.030610,0 days 00:00:00.181267,gaussian_mixture,abundance,2.5,2,COMPLETE
119,0.47229446760738314,2025-03-03 19:26:46.031611,2025-03-03 19:26:46.200933,0 days 00:00:00.169322,gaussian_mixture,abundance,2.6,2,COMPLETE
120,0.4750851406353102,2025-03-03 19:26:46.201740,2025-03-03 19:26:46.365283,0 days 00:00:00.163543,kmeans,abundance,2.4000000000000004,2,COMPLETE
121,0.4634389743182711,2025-03-03 19:26:46.366287,2025-03-03 19:26:46.545926,0 days 00:00:00.179639,gaussian_mixture,abundance,2.5,2,COMPLETE
122,0.4494794259438635,2025-03-03 19:26:46.546931,2025-03-03 19:26:46.718872,0 days 00:00:00.171941,gaussian_mixture,abundance,2.2,2,COMPLETE
123,0.42316991496202777,2025-03-03 19:26:46.719872,2025-03-03 19:26:46.895940,0 days 00:00:00.176068,gaussian_mixture,abundance,2.0500000000000003,2,COMPLETE
124,0.27248939739391087,2025-03-03 19:26:46.895940,2025-03-03 19:26:47.065367,0 days 00:00:00.169427,gaussian_mixture,abundance,2.35,2,COMPLETE
125,0.2705519246286455,2025-03-03 19:26:47.066170,2025-03-03 19:26:47.239246,0 days 00:00:00.173076,gaussian_mixture,abundance,2.15,2,COMPLETE
126,0.33546540388852997,2025-03-03 19:26:47.241251,2025-03-03 19:26:47.429339,0 days 00:00:00.188088,gaussian_mixture,abundance,1.9000000000000001,2,COMPLETE
127,0.49033475559031786,2025-03-03 19:26:47.430147,2025-03-03 19:26:47.598934,0 days 00:00:00.168787,gaussian_mixture,abundance,2.6500000000000004,2,COMPLETE
128,0.6378672952310829,2025-03-03 19:26:47.599956,2025-03-03 19:26:47.781476,0 days 00:00:00.181520,gaussian_mixture,abundance,2.0500000000000003,2,COMPLETE
129,0.288593652790921,2025-03-03 19:26:47.782476,2025-03-03 19:26:47.954330,0 days 00:00:00.171854,gaussian_mixture,abundance,2.5,2,COMPLETE
130,0.10164330709064202,2025-03-03 19:26:47.955328,2025-03-03 19:26:48.439345,0 days 00:00:00.484017,gaussian_mixture,abundance,0.05,2,COMPLETE
131,0.2556591879879747,2025-03-03 19:26:48.440350,2025-03-03 19:26:48.611768,0 days 00:00:00.171418,gaussian_mixture,abundance,2.1,2,COMPLETE
132,0.5966284709591211,2025-03-03 19:26:48.612773,2025-03-03 19:26:48.793306,0 days 00:00:00.180533,gaussian_mixture,abundance,2.0,2,COMPLETE
133,0.41222795365113163,2025-03-03 19:26:48.794308,2025-03-03 19:26:48.968562,0 days 00:00:00.174254,gaussian_mixture,abundance,2.0,2,COMPLETE
134,0.5237635029757262,2025-03-03 19:26:48.970562,2025-03-03 19:26:49.147657,0 days 00:00:00.177095,gaussian_mixture,abundance,1.9500000000000002,2,COMPLETE
135,0.2772100379218017,2025-03-03 19:26:49.148650,2025-03-03 19:26:49.336393,0 days 00:00:00.187743,gaussian_mixture,abundance,0.9,2,COMPLETE
136,0.47903660871515186,2025-03-03 19:26:49.337393,2025-03-03 19:26:49.518976,0 days 00:00:00.181583,gaussian_mixture,abundance,2.3000000000000003,2,COMPLETE
137,0.013115452990398119,2025-03-03 19:26:49.520583,2025-03-03 19:26:50.764370,0 days 00:00:01.243787,gaussian_mixture,presence,15.0,2,COMPLETE
138,0.6223447641174961,2025-03-03 19:26:50.766357,2025-03-03 19:26:50.942941,0 days 00:00:00.176584,gaussian_mixture,abundance,1.9000000000000001,2,COMPLETE
139,0.34028999034293383,2025-03-03 19:26:50.943942,2025-03-03 19:26:51.119073,0 days 00:00:00.175131,gaussian_mixture,abundance,2.0500000000000003,2,COMPLETE
140,0.3870612163747447,2025-03-03 19:26:51.120073,2025-03-03 19:26:51.295855,0 days 00:00:00.175782,gaussian_mixture,abundance,1.9500000000000002,2,COMPLETE
141,0.476120967007662,2025-03-03 19:26:51.297646,2025-03-03 19:26:51.472107,0 days 00:00:00.174461,gaussian_mixture,abundance,1.9000000000000001,2,COMPLETE
142,0.608345023839383,2025-03-03 19:26:51.473100,2025-03-03 19:26:51.660890,0 days 00:00:00.187790,gaussian_mixture,abundance,1.8,2,COMPLETE
143,0.5690527866142073,2025-03-03 19:26:51.661959,2025-03-03 19:26:51.840107,0 days 00:00:00.178148,gaussian_mixture,abundance,1.8,2,COMPLETE
144,0.42700932325242985,2025-03-03 19:26:51.842096,2025-03-03 19:26:52.019293,0 days 00:00:00.177197,gaussian_mixture,abundance,2.6,2,COMPLETE
145,0.20992243819261575,2025-03-03 19:26:52.020287,2025-03-03 19:26:52.196381,0 days 00:00:00.176094,gaussian_mixture,abundance,1.8,2,COMPLETE
146,0.513843085114156,2025-03-03 19:26:52.197190,2025-03-03 19:26:52.366299,0 days 00:00:00.169109,kmeans,abundance,1.9000000000000001,2,COMPLETE
147,0.5645204323639288,2025-03-03 19:26:52.367299,2025-03-03 19:26:52.553646,0 days 00:00:00.186347,gaussian_mixture,abundance,1.85,2,COMPLETE
148,0.4292117557730776,2025-03-03 19:26:52.554646,2025-03-03 19:26:52.728032,0 days 00:00:00.173386,gaussian_mixture,abundance,2.45,2,COMPLETE
149,0.35908657625581497,2025-03-03 19:26:52.729037,2025-03-03 19:26:52.910198,0 days 00:00:00.181161,gaussian_mixture,abundance,1.8,2,COMPLETE
150,0.2771152077109649,2025-03-03 19:26:52.911198,2025-03-03 19:26:53.118683,0 days 00:00:00.207485,gaussian_mixture,abundance,0.45,2,COMPLETE
151,0.5790278059907239,2025-03-03 19:26:53.119683,2025-03-03 19:26:53.295607,0 days 00:00:00.175924,gaussian_mixture,abundance,1.85,2,COMPLETE
152,0.4126197107346557,2025-03-03 19:26:53.296611,2025-03-03 19:26:53.474554,0 days 00:00:00.177943,gaussian_mixture,abundance,1.8,2,COMPLETE
153,0.4698159459397811,2025-03-03 19:26:53.475558,2025-03-03 19:26:53.651150,0 days 00:00:00.175592,gaussian_mixture,abundance,1.6500000000000001,2,COMPLETE
154,0.6252944405429411,2025-03-03 19:26:53.651957,2025-03-03 19:26:53.841733,0 days 00:00:00.189776,gaussian_mixture,abundance,1.7000000000000002,2,COMPLETE
