number,value,datetime_start,datetime_complete,duration,params_algorithm,params_filter_criteria,params_filter_threshold,params_k,state
39,0.5384551410605511,2024-12-18 23:47:56.241373,2024-12-18 23:47:56.376576,0 days 00:00:00.135203,kmeans,abundance,0.2,7,COMPLETE
40,0.5325805052129275,2024-12-18 23:47:56.377943,2024-12-18 23:47:56.489080,0 days 00:00:00.111137,kmeans,abundance,1.1,5,COMPLETE
41,0.44272254092390306,2024-12-18 23:47:56.490422,2024-12-18 23:47:56.608734,0 days 00:00:00.118312,kmeans,abundance,0.5,10,COMPLETE
42,0.46725806145601195,2024-12-18 23:47:56.610080,2024-12-18 23:47:56.718793,0 days 00:00:00.108713,kmeans,abundance,1.2000000000000002,10,COMPLETE
43,0.4630188230528353,2024-12-18 23:47:56.720124,2024-12-18 23:47:56.833721,0 days 00:00:00.113597,kmeans,abundance,0.8,9,COMPLETE
44,0.4626362392389738,2024-12-18 23:47:56.835063,2024-12-18 23:47:56.960772,0 days 00:00:00.125709,kmeans,abundance,0.30000000000000004,10,COMPLETE
45,0.4938931760352688,2024-12-18 23:47:56.962153,2024-12-18 23:47:57.071769,0 days 00:00:00.109616,kmeans,abundance,1.7000000000000002,8,COMPLETE
46,0.5653974407614463,2024-12-18 23:47:57.073129,2024-12-18 23:47:57.185364,0 days 00:00:00.112235,kmeans,abundance,1.4000000000000001,10,COMPLETE
47,0.5793276526852605,2024-12-18 23:47:57.186535,2024-12-18 23:47:57.292657,0 days 00:00:00.106122,kmeans,abundance,2.0,8,COMPLETE
48,0.5479243084313338,2024-12-18 23:47:57.293985,2024-12-18 23:47:57.407237,0 days 00:00:00.113252,kmeans,abundance,1.0,9,COMPLETE
49,0.4088852563685063,2024-12-18 23:47:57.408568,2024-12-18 23:47:57.522931,0 days 00:00:00.114363,kmeans,abundance,0.6000000000000001,7,COMPLETE
50,0.5359200527924313,2024-12-18 23:47:57.524163,2024-12-18 23:47:57.636062,0 days 00:00:00.111899,kmeans,abundance,0.7000000000000001,9,COMPLETE
