,Feature,Importance,Specie,abundance
8021,669502,0.003203680971894041,Candidatus Profftella armatura,835.0
89,1761012,0.00317089347910746,Candidatus Formimonas warabiya,12197.0
2210,53461,0.0030236792933983785,Nakamurella multipartita,2974.0
6399,210,0.002903948525006113,Helicobacter pylori,19335.0
2033,2708082,0.0028694806647892,Mumia sp. ZJ1417,2483.0
68,885581,0.0027228729289352433,Desulfosporosinus acidiphilus,10696.0
6206,1131703,0.0026393409330997286,Sphaerochaeta globosa,5878.0
2080,240495,0.0025786278534471745,Pseudonocardia dioxanivorans,4259.0
2560,502394,0.0025254963357218417,Deinococcus gobiensis,4632.0
7433,1484116,0.002508036957114133,Hymenobacter psoromatis,3832.0
3907,266062,0.002428387491188293,Pseudoxanthomonas daejeonensis,1367.0
5877,1850238,0.0024033330424434955,Rhizorhabdus dicambivorans,3337.0
5679,1775881,0.002374195094345127,Sulfitobacter faviae,3549.0
6722,64160,0.002341821476971497,Desulfurobacterium thermolithotrophum,3132.0
4898,1593482,0.0023319937024793127,Massilia sp. YMA4,3043.0
2177,2001,0.0023147713548596757,Streptosporangium roseum,6240.0
1936,1282737,0.0022847743144067366,Flaviflexus salsibiostraticola,2885.0
5722,2602067,0.0022299017498565695,Octadecabacter sp. SW4,2508.0
299,1581038,0.00221666393566507,Bacillus sp. FJAT-22090,10440.0
3918,445710,0.002209454337834888,Dyella thiooxydans,2592.0
5714,2867012,0.002186477888614021,Jannaschia sp. W003,3692.0
90,1712410,0.0021730442379005416,Thermanaerosceptrum fracticalcis,8034.0
5793,2319844,0.0021551331330170167,Sphingomonas paeninsulae,1288.0
544,29380,0.0021421556546435626,Staphylococcus caprae,11820.0
6652,428712,0.002130976103697652,Jonquetella anthropi,6637.0
1505,2895559,0.0021138972812342048,Subtercola sp. AK-R2A1-2,2012.0
4926,80842,0.0021115127477433155,Herbaspirillum rubrisubalbicans,4095.0
9423,2917160,0.002095502623472846,,45.0
5380,2740529,0.0020805244738500077,Microvirga sp. R24,2608.0
2200,1884913,0.002074476691591775,Candidatus Planktophila lacus,2052.0
7235,2759943,0.0020691375552606478,Protaetiibacter sp. SSC-01,2833.0
2093,42197,0.002030566255616634,Actinosynnema pretiosum,4601.0
927,116090,0.002001548351510319,Caloranaerobacter azorensis,27070.0
561,74706,0.0019837025316455704,Staphylococcus coagulans,3462.0
2598,913107,0.001976442763685782,Pelolinea submarina,4557.0
8367,3002901,0.001969196525730505,Rhodococcus sp. JS3073,646.0
4820,68895,0.0019545836131631975,Cupriavidus basilensis,5853.0
487,1472767,0.001953342282236666,Lentibacillus amyloliquefaciens,7462.0
1649,2585716,0.0019453746247314362,Streptomyces sp. C8S0,2204.0
4484,2745199,0.001941389056505984,Microbulbifer sp. YPW1,2040.0
1267,1494608,0.0019036137154267037,Arthrobacter sp. PAMC 25486,3062.0
6265,45663,0.0018672400008516105,Desulfohalobium retbaense,2493.0
2796,1942464,0.0018434312305597,Cellulophaga sp. HaHaR_3_176,4644.0
408,1482,0.0018372203662677888,Virgibacillus halodenitrificans,11672.0
5507,2826993,0.0018353252649794146,Aureimonas sp. SA4125,2120.0
6250,345370,0.0018036475239220891,Solidesulfovibrio carbinoliphilus,4459.0
8005,84590,0.0018001040339831297,Taylorella asinigenitalis,1509.0
2030,2045,0.001798246375944417,Pimelobacter simplex,6932.0
1117,161899,0.0017963683078556665,Corynebacterium singulare,2239.0
5601,2560053,0.0017741498553993313,Paracoccus liaowanqingii,2779.0
38,3023090,0.001763918660564277,Caloramator sp. mosi_1,38941.0
1668,659352,0.0017579217186368117,Streptomyces sp. SN-593,3730.0
2688,2937442,0.0017557025581441997,Flavobacterium humidisoli,3816.0
6735,693075,0.0017547329072561638,Caldisericum exile,3317.0
2599,167964,0.001753478395710288,Anaerolinea thermophila,6847.0
3696,47879,0.0017507177990041141,Pseudomonas corrugata,1196.0
6270,345632,0.0017397573686602917,Geobacter pickeringii,5010.0
5216,384,0.001720892241046502,Rhizobium leguminosarum,38493.0
2223,1798224,0.0017122283574348737,Jiangella sp. DSM 45060,3915.0
1592,2508882,0.0017048802461800783,Ornithinimicrobium sp. HY006,1905.0
5348,2991972,0.0016963824618094704,Rhodopseudomonas sp. P2A-2r,2948.0
1914,111015,0.001681790847978312,Actinomyces radicidentis,8766.0
2398,2812896,0.0016782817368631148,Leptolyngbya sp. 7M,3789.0
2230,414996,0.0016761218041561016,Actinopolyspora erythraea,2012.0
2728,1312072,0.0016723847661164351,Polaribacter sp. SA4-12,3649.0
5235,358,0.0016454861639444045,Agrobacterium tumefaciens,26032.0
2821,313603,0.001635633509547393,Maribacter sp. HTCC2170,2662.0
5358,223967,0.001634865343991777,Methylorubrum populi,4800.0
4958,217203,0.0015971239255895763,Achromobacter spanius,10592.0
6552,2528007,0.0015855601863201771,Polystyrenella longa,1428.0
789,114090,0.001583326523662685,Pediococcus inopinatus,5925.0
4596,451,0.0015532845527972796,Tatlockia micdadei,1195.0
2190,1219491,0.0015530290428234597,Actinomadura sp. WMMB 499,5163.0
1881,2742135,0.0015476501361630338,Kitasatospora sp. NA04385,3196.0
5039,194197,0.0015365284080158465,Neisseria dentiae,1939.0
5981,2558361,0.0015361543557032278,Formicincola oecophyllae,1347.0
1151,349751,0.0015188852058618284,Corynebacterium marinum,2687.0
1521,2725563,0.0015139074013530171,Brevibacterium sp. 'Marine',1637.0
6653,651822,0.00149515343588158,Fretibacterium fastidiosum,20312.0
5552,1526658,0.0014635645625454001,Bosea vaviloviae,3577.0
6500,395922,0.001455523549341091,Coraliomargarita akajimensis,1756.0
1252,286802,0.0014376610166417613,Segniliparus rotundus,2600.0
8188,1959104,0.001437450151239259,Nitrosopumilus oxyclinae,745.0
2063,103733,0.0014291166730671834,Saccharothrix syringae,7731.0
170,2211212,0.0014032032117423428,Paenibacillus sp. DCT19,7448.0
166,1930071,0.0014001087338897955,Methylomusa anaerophila,10998.0
2488,2118,0.0013953826157442886,Mesomycoplasma mobile,4526.0
2910,3032586,0.0013949629558971854,Zobellia sp. LLG6346-3.1,2397.0
743,83683,0.0013838920622518105,Lactobacillus amylolyticus,4664.0
6789,2784880,0.0013820948971889704,Natranaeroarchaeum sulfidigenes,529.0
6824,2817025,0.0013777634390650336,Halovivax sp. KZCA124,629.0
1044,758802,0.0013721806665173263,Mycolicibacterium litorale,3361.0
2957,112234,0.0013697675456754894,Chryseobacterium joostei,2415.0
4421,511062,0.0013691307761804117,Oceanimonas sp. GK1,2538.0
6710,28262,0.0013661087235622967,Thermodesulfovibrio yellowstonii,5997.0
8408,2774459,0.001354955779221255,Pseudomonas sp. IzPS59,408.0
