number,value,datetime_start,datetime_complete,duration,params_algorithm,params_filter_criteria,params_filter_threshold,params_k,state
42,0.22709263852101605,2024-12-18 23:39:35.007552,2024-12-18 23:39:35.555841,0 days 00:00:00.548289,kmeans,presence,65,3,COMPLETE
43,0.14747440832905404,2024-12-18 23:39:35.557050,2024-12-18 23:39:36.079057,0 days 00:00:00.522007,kmeans,presence,85,3,COMPLETE
44,0.12677956139823446,2024-12-18 23:39:36.080114,2024-12-18 23:39:36.637219,0 days 00:00:00.557105,kmeans,presence,55,2,COMPLETE
45,0.20335738735582964,2024-12-18 23:39:36.638533,2024-12-18 23:39:37.211464,0 days 00:00:00.572931,kmeans,presence,65,6,COMPLETE
46,0.26816977156307137,2024-12-18 23:39:37.212771,2024-12-18 23:39:37.739704,0 days 00:00:00.526933,kmeans,presence,90,8,COMPLETE
47,0.19255550758152862,2024-12-18 23:39:37.741101,2024-12-18 23:39:38.254447,0 days 00:00:00.513346,kmeans,presence,95,8,COMPLETE
48,0.1986555831280644,2024-12-18 23:39:38.255756,2024-12-18 23:39:38.716507,0 days 00:00:00.460751,kmeans,presence,110,8,COMPLETE
49,0.24998453301867063,2024-12-18 23:39:38.717879,2024-12-18 23:39:39.154477,0 days 00:00:00.436598,kmeans,presence,120,9,COMPLETE
50,0.11955799302699961,2024-12-18 23:39:39.155777,2024-12-18 23:39:39.614688,0 days 00:00:00.458911,kmeans,presence,115,10,COMPLETE
51,0.1809439708562576,2024-12-18 23:39:39.616016,2024-12-18 23:39:40.155194,0 days 00:00:00.539178,kmeans,presence,95,9,COMPLETE
52,0.1984196979265936,2024-12-18 23:39:40.156507,2024-12-18 23:39:40.631461,0 days 00:00:00.474954,kmeans,presence,105,9,COMPLETE
53,0.17618444213862894,2024-12-18 23:39:40.632704,2024-12-18 23:39:41.155962,0 days 00:00:00.523258,kmeans,presence,85,8,COMPLETE
54,0.16268344000829674,2024-12-18 23:39:41.157317,2024-12-18 23:39:41.738336,0 days 00:00:00.581019,kmeans,presence,35,7,COMPLETE
55,0.19975864696567414,2024-12-18 23:39:41.739583,2024-12-18 23:39:42.158637,0 days 00:00:00.419054,kmeans,presence,120,10,COMPLETE
56,0.13992223442168228,2024-12-18 23:39:42.159549,2024-12-18 23:39:42.779831,0 days 00:00:00.620282,kmeans,presence,15,8,COMPLETE
57,0.16492166360779614,2024-12-18 23:39:42.781170,2024-12-18 23:39:43.358981,0 days 00:00:00.577811,kmeans,presence,25,7,COMPLETE
58,0.07226050909876601,2024-12-18 23:39:43.360315,2024-12-18 23:39:44.178273,0 days 00:00:00.817958,kmeans,presence,0,9,COMPLETE
59,0.17015020555838745,2024-12-18 23:39:44.179410,2024-12-18 23:39:44.769032,0 days 00:00:00.589622,kmeans,presence,40,7,COMPLETE
60,0.14094549475527252,2024-12-18 23:39:44.770336,2024-12-18 23:39:45.317304,0 days 00:00:00.546968,kmeans,presence,75,9,COMPLETE
