Gene	Mean_Difference	p_value	p_adj
K14441	-766.7963931696902	1.0876159796772979e-12	1.9131165082523668e-09
K02232	-701.8584264796016	1.1170933471646518e-12	1.9649671976626225e-09
K12574	1255.541620571481	1.1399328049861183e-12	2.005141803970582e-09
K05515	113.77180185631254	1.3424278538781294e-12	2.3613305949716298e-09
K00865	369.7236254720658	1.5322131399224396e-12	2.6951629131235713e-09
K10907	-907.4883309363516	1.98475528132327e-12	3.491184539847632e-09
K01200	-438.0687617032872	2.0762896470177942e-12	3.6521934891043e-09
K06392	-1121.7020093855722	2.3483392872475125e-12	4.130728806268374e-09
K01885	-1080.46251180321	3.2894456258625694e-12	5.7861348558922594e-09
K00180	111.86395451695626	3.7678277025593865e-12	6.627608928801961e-09
K02108	706.2045975408707	3.8840218784633476e-12	6.831994484217029e-09
K01886	-857.0682420680739	3.999059075847817e-12	7.03434491441631e-09
K01918	-783.2825723200353	4.232716654180554e-12	7.445348594703594e-09
K02587	65.60376283408712	5.088434726374688e-12	8.950556683693075e-09
K01610	-939.3339350138842	5.949229865687771e-12	1.0464695333744789e-08
K02072	211.10391181999873	5.996850014067935e-12	1.0548459174745498e-08
K03386	-544.8197818210417	6.101007498165833e-12	1.07316721892737e-08
K03475	191.05674853361498	7.494168242952365e-12	1.318224193935321e-08
K07009	276.7861957780273	9.999955752903242e-12	1.7589922169356802e-08
K00860	-446.9233635638526	1.0282389576206223e-11	1.8086723264546746e-08
K13378	-388.010423853975	1.0428335111650905e-11	1.8343441461393943e-08
K00873	649.4603038846511	1.3947874846449013e-11	2.4534311854903812e-08
K07220	-281.2842030443636	1.4242107522624452e-11	2.505186713229641e-08
K01620	115.74174125313198	1.4287306776413269e-11	2.513137261971094e-08
K03303	87.58015305179714	1.4965454257976182e-11	2.6324234039780105e-08
K01821	1101.0522602752867	2.4644659570976045e-11	4.334995618534686e-08
K11645	-475.5468119018156	3.027338664549503e-11	5.3250887109425756e-08
K02477	152.66321358107982	3.43258511831104e-11	6.03791722310912e-08
K00657	-167.353349251429	3.8772988825939e-11	6.82016873448267e-08
K07080	-397.6947632768459	4.190577405665821e-11	7.371225656566179e-08
K06410	-209.3616005332738	4.1957747394262186e-11	7.380367766650718e-08
K07533	237.8752800026734	4.456888015696135e-11	7.8396660196095e-08
K18888	455.3292102562339	4.504773525226033e-11	7.923896630872591e-08
K02233	195.98803521032437	4.5846793777757126e-11	8.064451025507479e-08
K09690	-191.0128175316501	4.7124977674832166e-11	8.289283573002978e-08
K03437	-508.2230488209177	5.099046854758684e-11	8.969223417520525e-08
K05942	-447.15890197957617	5.124975323137288e-11	9.014831593398489e-08
K00956	-305.6898302831357	5.628868567325717e-11	9.901179809925935e-08
K00059	-972.5349650541589	5.973292073780438e-11	1.0507020757779791e-07
K00639	-234.84846546504872	6.589393761867233e-11	1.1590743627124462e-07
K03527	-600.1615646822314	6.811258685574477e-11	1.1981004027925503e-07
K03525	-629.8035716462354	6.901834224368121e-11	1.2140326400663526e-07
K02217	-862.2959142971788	6.922907361347074e-11	1.2177394048609504e-07
K03091	-2461.218874897925	7.474399527588613e-11	1.314746876902837e-07
K07646	-379.93082394605494	7.571691454474605e-11	1.331860526842083e-07
K13292	583.4697945710666	8.015705391525687e-11	1.4099625783693685e-07
K09976	859.5012943968835	8.210537934998648e-11	1.4442336227662623e-07
K00266	65.38426729355615	9.868973445740658e-11	1.7359524291057817e-07
K06381	-191.403383934374	1.0220963536421016e-10	1.7978674860564566e-07
K22431	-697.5540772406125	1.0304187618907845e-10	1.81250660216589e-07
K03698	-593.5270627066408	1.0346160074123196e-10	1.8198895570382702e-07
K10546	125.43877364207233	1.0915763618419784e-10	1.92008282048004e-07
K03077	-783.1941261459936	1.0961963931156713e-10	1.9282094554904659e-07
K01267	66.31425948382793	1.140322954444181e-10	2.0058280768673144e-07
K00943	783.7000357931624	1.3129277750687626e-10	2.3094399563459535e-07
K03832	-630.8730003701388	1.4628156497552743e-10	2.5730927279195275e-07
K01572	-552.8904618942495	1.6410592797329821e-10	2.8866232730503156e-07
K01815	-756.669763214941	1.6638896575280893e-10	2.926781907591909e-07
K00849	-538.4543905352746	1.7059778903053485e-10	3.000815109047108e-07
K06966	-409.78017171678164	1.8620685169762393e-10	3.275378521361205e-07
K06379	-833.9201926341447	1.8830324232745054e-10	3.312254032539855e-07
K07742	274.59927832458936	2.002187780329816e-10	3.5218483056001463e-07
K03786	-994.2412196629464	2.0121677357849452e-10	3.539403047245719e-07
K18138	-316.19034915387704	2.0738939875880123e-10	3.647979524167314e-07
K02316	195.28926426699047	2.2137415080854706e-10	3.8939713127223427e-07
K08325	-229.39401974919267	2.2499048629700313e-10	3.957582653964285e-07
K00962	-925.3612659102382	2.2524557006602518e-10	3.962069577461383e-07
K03048	792.441335412848	2.287419685267018e-10	4.0235712263846845e-07
K10021	-530.6192714653471	2.3014717109198251e-10	4.0482887395079723e-07
K06942	804.256308911727	2.3554815085117377e-10	4.1432919734721466e-07
K00281	-267.58783001708986	2.4271384865646577e-10	4.2693365978672326e-07
K10545	95.32341510011253	2.479938880251755e-10	4.362212490362837e-07
K16923	156.44541120950845	2.5672470775521536e-10	4.5157876094142384e-07
K00847	599.2464162646819	2.5902949427928535e-10	4.5563288043726295e-07
K12527	70.68290674644638	2.712153594296218e-10	4.770678172367047e-07
K01270	-370.1390483666784	2.8071262855915083e-10	4.937735136355463e-07
K09015	-338.32781591590856	2.8884645668490215e-10	5.080809173087428e-07
K21574	-489.7554393259581	3.204724148338657e-10	5.637109776927698e-07
K01208	-487.09165845987775	3.298736779012424e-10	5.802477994282853e-07
K10541	85.64746647184506	3.3727555470907385e-10	5.932677007332609e-07
K12308	-154.1700456289794	3.424135794128151e-10	6.023054861871418e-07
K02437	-585.4487948695299	3.5735762103602127e-10	6.285920554023614e-07
K00603	-294.9612753600229	4.1630433094304505e-10	7.322793181288162e-07
K02008	252.29655894792614	4.252398936225303e-10	7.479969728820309e-07
K06168	-763.8094982042946	4.464512140788279e-10	7.853076855646583e-07
K21572	-2627.653577955434	4.632967709096606e-10	8.14939020030093e-07
K01685	-449.4414210776533	5.154526574395366e-10	9.066812244361449e-07
K01442	-1032.5332648455073	5.215869382017664e-10	9.174714242969071e-07
K03574	630.1902096275849	5.484412188750967e-10	9.647081040012951e-07
K03474	-406.70417968897584	6.059508105777698e-10	1.0658674758062971e-06
K06178	475.80155201531306	6.123580475968368e-10	1.077137805722836e-06
K03147	-718.0668491296167	6.521195214711013e-10	1.1470782382676671e-06
K01438	-361.5254902572799	6.555055179505182e-10	1.1530342060749616e-06
K07718	-308.6144729969004	6.831246918073175e-10	1.2016163328890714e-06
K02073	734.3828108562702	6.970768709200136e-10	1.226158215948304e-06
K19118	-378.6774798117217	7.09950917145103e-10	1.2488036632582363e-06
K00997	719.5301838966013	7.274923382373616e-10	1.279659022959519e-06
K03587	57.7090569195118	7.355817885677382e-10	1.2938883660906515e-06
K02777	506.2342877230557	7.588981646804131e-10	1.3349018716728466e-06
K03476	166.09953372964827	8.440136836404113e-10	1.4846200695234835e-06
K01812	-644.3043587241548	8.558926719169038e-10	1.505515209901834e-06
K22024	-413.75545903048453	8.581520366997932e-10	1.5094894325549363e-06
K01304	135.8255699891821	9.407815738826107e-10	1.6548347884595122e-06
K07699	-403.98892978453887	9.411618883608318e-10	1.6555037616267032e-06
K20107	442.072691250699	9.931076388427035e-10	1.7468763367243155e-06
K20108	442.072691250699	9.931076388427035e-10	1.7468763367243155e-06
K11145	684.9780117321553	1.0422648695042823e-09	1.8333439054580327e-06
K02749	76.97467035011574	1.0657515929485025e-09	1.8746570519964159e-06
K03700	602.3580837313531	1.107585946163116e-09	1.948243679300921e-06
K03696	-671.8585929963167	1.1753279260878185e-09	2.0674018219884727e-06
K09812	187.52350265832735	1.2349409958476817e-09	2.172261211696072e-06
K06193	556.4738137087357	1.3456482101611008e-09	2.366995201673376e-06
K07043	-425.5173558178675	1.3763839272442493e-09	2.4210593280226347e-06
K03306	-210.2736272771569	1.4288324548407934e-09	2.5133162880649555e-06
K07792	-215.17938230029017	1.4313429551527968e-09	2.5177322581137696e-06
K15987	-229.50918711135665	1.4631420712694512e-09	2.5736669033629646e-06
K01251	-331.12485630209767	1.4912104428009226e-09	2.623039168886823e-06
K03043	-665.4729841253834	1.5134540747942056e-09	2.6621657175630077e-06
K00797	-564.7523631844415	1.6730155536877861e-09	2.942834358936816e-06
K17319	-1113.2203273033572	1.6798838157658813e-09	2.954915631932185e-06
K01232	137.1797601253275	1.7313069634687951e-09	3.0453689487416105e-06
K01783	-551.125858173791	1.8043940898679268e-09	3.1739292040776834e-06
K01006	-713.3238422130644	1.80495482700926e-09	3.1749155407092884e-06
K02621	448.169373308408	1.887864633780366e-09	3.3207538908196635e-06
K13789	-187.60836352067622	1.9131307694334064e-09	3.365197023433362e-06
K03410	-424.80033229301347	1.9701925931545475e-09	3.465568771358849e-06
K15531	-422.81058081436856	1.9742589258225917e-09	3.4727214505219386e-06
K22432	-463.0551010748384	2.0918153396001734e-09	3.679503182356705e-06
K01198	-290.72220983379293	2.205534568036499e-09	3.879535305176202e-06
K01186	-260.20387971149125	2.2555247506259854e-09	3.967468036351108e-06
K06972	42.94531106617751	2.333842320586652e-09	4.105228641911921e-06
K00602	735.1608791680613	2.6693622413367843e-09	4.695408182511403e-06
K02551	-263.6833654202212	2.704094471097857e-09	4.75650217466113e-06
K00248	-453.7802940736136	2.8001005108667135e-09	4.925376798614549e-06
K15986	622.8237757453011	2.808804230155602e-09	4.940686640843704e-06
K01448	-536.9919983384715	2.974625984717943e-09	5.232367107118862e-06
K00681	60.67145337536844	3.0273848591253836e-09	5.32516996720155e-06
K12410	-871.251210582494	3.0838138792167764e-09	5.42442861354231e-06
K04652	138.2900673252539	3.199651508095578e-09	5.628187002740122e-06
K03613	-245.06178996724884	3.402357522521578e-09	5.984746882115456e-06
K02038	489.25562452933207	3.4119807892686094e-09	6.001674208323484e-06
K01633	164.811089453877	3.461106250571268e-09	6.088085894754861e-06
K03558	-231.53929528305156	3.537733702790152e-09	6.222873583207878e-06
K01807	406.7172212323352	3.875532776927317e-09	6.817062154615151e-06
K01159	-384.35347623406653	3.888347543325775e-09	6.839603328710038e-06
K04758	-1287.7816778637743	3.894178125136726e-09	6.8498593221155004e-06
K11071	-461.8104259690309	3.979392966697434e-09	6.999752228420786e-06
K09773	169.65138187602278	4.171613137366312e-09	7.337867508627342e-06
K02338	684.8701814686641	4.2956656200648806e-09	7.556075825694125e-06
K14170	-37.60498608021208	4.473977802580522e-09	7.869726954739137e-06
K01752	400.93942132520567	4.4747818475923604e-09	7.871141269914962e-06
K06385	-340.2949816275651	4.7654375232050405e-09	8.382404603317666e-06
K09022	508.1748467615412	4.78138167718209e-09	8.410450370163296e-06
K01430	381.3196918665153	5.352224143051951e-09	9.414562267628382e-06
K19802	-269.28779729344126	5.528546402359855e-09	9.724713121750985e-06
K00874	106.66614151222034	5.6810105322101316e-09	9.992897526157621e-06
K20074	144.46695019500493	5.80609981331701e-09	1.021292957162462e-05
K09936	175.31581610177287	5.8466718792983e-09	1.028429583568571e-05
K15770	119.18061803247997	5.8651658752698175e-09	1.031682677459961e-05
K01628	249.82158149638843	6.169748959058567e-09	1.085258841898402e-05
K02039	-514.8120553470435	6.2404918172024736e-09	1.0977025106459151e-05
K11755	-432.51537881426634	6.299270064284125e-09	1.1080416043075776e-05
K01834	579.9143870871776	6.456215460185462e-09	1.1356482994466228e-05
K02652	-357.2513556830133	6.504239501942648e-09	1.1440957283917118e-05
K02759	561.4888008281577	7.090666998847184e-09	1.2472483250972198e-05
K01595	434.36067615277426	7.59049160398323e-09	1.3351674731406502e-05
K01425	-466.487440616975	7.759447541916429e-09	1.3648868226230997e-05
K19955	-200.97261881306525	8.237284501085879e-09	1.4489383437410061e-05
K09117	-408.5445238783136	8.336085799006055e-09	1.466317492045165e-05
K00661	-622.6611143903193	8.896614262749522e-09	1.564914448817641e-05
K00096	-396.8568661167567	9.350394725146753e-09	1.644734432153314e-05
K16899	492.5768526005791	9.359072291234739e-09	1.6462608160281906e-05
K03299	86.74069653436439	9.474843207446833e-09	1.6666249201898977e-05
K00974	411.5412965810741	1.0038634988561458e-08	1.7657958944879606e-05
K02750	99.47432843065606	1.0316434230320518e-08	1.814660781113379e-05
K06399	-256.64945967337655	1.060944106531132e-08	1.8662006833882613e-05
K01956	587.0092627878352	1.075026569936078e-08	1.8909717365175612e-05
K01804	-518.4271835969995	1.1490668284168346e-08	2.021208551185212e-05
K00926	349.7891901044224	1.158645746259807e-08	2.0380578676710003e-05
K07056	622.9499487018404	1.1608787675101809e-08	2.0419857520504084e-05
K03526	-595.3943949385321	1.1762788642647336e-08	2.0690745222416664e-05
K02945	489.55176608967497	1.1780193598968756e-08	2.072136054058604e-05
K11754	740.375140746238	1.2315615016186749e-08	2.1663166813472492e-05
K00655	-343.3728680915889	1.2771492207275618e-08	2.2465054792597813e-05
K15633	-732.1148399402905	1.347852587363687e-08	2.3708727011727252e-05
K05985	625.9570296862316	1.4297647651450606e-08	2.5149562218901618e-05
K01823	481.5978420163524	1.4383093810625794e-08	2.529986201289077e-05
K02419	-380.47011876422516	1.4429729594101118e-08	2.5381894356023867e-05
K03149	-387.9447115852105	1.5820945673982292e-08	2.782904344053485e-05
K07473	-1341.6918452746224	1.6419306687143006e-08	2.8881560462684546e-05
K00948	1133.3825089336685	1.6543529131709148e-08	2.910006774267639e-05
K00012	-400.17375931260597	1.6562057917535577e-08	2.913265987694508e-05
K03639	169.30115510793217	1.7444886877403365e-08	3.0685556017352516e-05
K07979	-452.3781399974167	1.7464614715505516e-08	3.0720257284574204e-05
K17103	-201.71455537877017	1.979470461116487e-08	3.4818885411039006e-05
K01653	463.80107978872445	2.037504862121926e-08	3.5839710524724675e-05
K10563	398.63045094786526	2.0970462756645787e-08	3.688704398893994e-05
K05816	152.6643558157271	2.1180274260580653e-08	3.725610242436137e-05
K01879	534.4167095307627	2.28885551775641e-08	4.026096855733525e-05
K01847	-107.72289305203245	2.5924391095150126e-08	4.560100393636907e-05
K02770	-684.2846252748299	2.6621847729558536e-08	4.6827830156293464e-05
K04047	-299.8199951543611	2.685061254485844e-08	4.7230227466405995e-05
K00605	-326.6230295882184	2.7815071625591437e-08	4.892671098941534e-05
K01012	-883.2844866565044	2.8897183484385015e-08	5.0830145749033244e-05
K00615	-1939.2222358650783	2.9160987387976157e-08	5.129417681545006e-05
K03411	-352.2665773406774	2.922379493776218e-08	5.140465529552368e-05
K00674	525.7824859064956	3.005771002979118e-08	5.2871511942402684e-05
K01809	698.4723732637575	3.1241428391446025e-08	5.4953672540553556e-05
K19294	-182.49745209430486	3.143125691021055e-08	5.5287580905060357e-05
K03703	-637.8782028611226	3.174860131878435e-08	5.5845789719741666e-05
K02231	-247.88131080635267	3.1774237375972445e-08	5.589088354433553e-05
K02027	-427.811274043793	3.233449726417047e-08	5.687638068767586e-05
K02769	-679.1946768757814	3.401639483846028e-08	5.983483852085163e-05
K06042	-548.2956933596449	3.4594903653166473e-08	6.0852435525919826e-05
K02071	662.9299766858688	3.54588786634677e-08	6.237216756903969e-05
K02056	486.933994443992	3.608889486690925e-08	6.348036607089337e-05
K00031	-476.4960148233811	3.7279509145412217e-08	6.557465658678008e-05
K00791	-887.6392007633231	3.792178032820373e-08	6.670441159731036e-05
K00123	74.29000546158747	4.2121257480879004e-08	7.409129190886617e-05
K00616	-657.3883086808398	4.292051603453577e-08	7.549718770474842e-05
K03546	127.40435175867495	4.550968921523634e-08	8.005154332960072e-05
K16898	413.0393638689302	4.657351641121813e-08	8.19228153673327e-05
K00335	-213.94850187130652	4.7135201632530786e-08	8.291081967162165e-05
K07085	-986.0805260090556	4.876775085999026e-08	8.578247376272286e-05
K00525	-342.5001217379184	5.155842389230227e-08	9.06912676265597e-05
K03469	-429.7333785058903	5.306395592168233e-08	9.333949846623923e-05
K06391	-153.44632260429864	5.419315414282736e-08	9.532575813723333e-05
K07460	-451.8092903394735	5.4195432666805745e-08	9.53297660609113e-05
K00702	-551.3586274917582	5.665654414123932e-08	9.965886114443996e-05
K07729	-1191.1329433347337	5.764489398005962e-08	0.00010139736851092486
K00286	-463.8629029148191	5.951165941478685e-08	0.00010468100891061007
K07053	-169.66771656572234	6.009136532084705e-08	0.00010570071159936996
K06889	-590.382749195923	6.152579240099128e-08	0.00010822386883334366
K04087	113.3101370878927	6.254319991583833e-08	0.00011001348865195963
K00147	-833.8491990908365	6.264969804626506e-08	0.00011020081886338023
K18581	-261.05063164350156	6.439993069353048e-08	0.00011327947808992011
K01243	166.52564658321245	6.444777297477608e-08	0.00011336363266263112
K02030	507.63351120384334	6.487196022948665e-08	0.00011410977804366701
K03722	127.4399856981255	6.533850837359679e-08	0.00011493043622915675
K11720	87.89871129423095	6.560325028191953e-08	0.00011539611724589644
K00970	-283.0974546249306	6.711721808563014e-08	0.00011805918661262341
K03186	139.20734217807092	7.079046236403758e-08	0.0001245204232983421
K03563	-693.314186116911	7.143975045732046e-08	0.0001256625210544267
K10439	218.44256915715192	7.323202368842978e-08	0.000128815129667948
K02203	-312.72593523515076	7.407170365891177e-08	0.0001302921267360258
K00872	291.549394906286	7.720529011957125e-08	0.00013580410532032581
K06864	165.0890376202064	7.742531589007494e-08	0.0001361911306506418
K01775	528.8923131334743	7.823297364474832e-08	0.0001376118006411123
K00133	516.6917808217689	8.031144029086788e-08	0.0001412678234716366
K03076	781.3072921975265	8.205211066858365e-08	0.00014432966266603864
K18941	381.97397546365795	8.262043255213885e-08	0.00014532934085921222
K14155	173.2071864746784	8.69475444772771e-08	0.00015294073073553042
K11753	386.52092189231314	8.698681075557643e-08	0.00015300980011905894
K04771	345.4430537321334	8.879759293992177e-08	0.0001561949659813224
K01916	506.0567855782493	9.048171541257002e-08	0.00015915733741071067
K03547	-133.11576632669113	9.103632395743988e-08	0.00016013289384113674
K00383	388.20380196766405	9.417525017845154e-08	0.00016565426506389626
K01875	591.0030381578229	9.897254718252446e-08	0.00017409271049406054
K01919	461.73217661354266	1.0235754277710412e-07	0.00018004691774492615
K11991	588.0731506459849	1.0806633332599114e-07	0.00019008868032041842
K14188	425.0529814677802	1.1003550509658194e-07	0.00019355245346488762
K10536	-328.2368705902506	1.1642038700793926e-07	0.00020478346074696515
K01042	152.13845115070546	1.204295180870858e-07	0.00021183552231518395
K07030	506.56656086658177	1.2579297610229046e-07	0.00022126984496392892
K01512	665.1754389639157	1.2663536160176586e-07	0.00022275160105750613
K01703	-651.2053838835095	1.2676014092902167e-07	0.00022297108789414913
K06941	-555.0377402107083	1.2727563207440461e-07	0.0002238778368188777
K14445	-69.44929276237806	1.283591975979296e-07	0.00022578382857475817
K17686	168.95666911044103	1.2916389775022563e-07	0.0002271992961426469
K02768	-644.4947905992198	1.3111758364606408e-07	0.0002306358296334267
K00949	-324.3190537617553	1.3965791782951123e-07	0.00024565827746211025
K07586	475.28609454013974	1.4134685943909232e-07	0.0002486291257533634
K03565	562.7721045282693	1.4590904008616808e-07	0.00025665400151156966
K08384	-287.9899017264924	1.4629481375887117e-07	0.0002573325774018544
K07173	668.9017510973424	1.5740273971734614e-07	0.00027687141916281187
K20444	72.4995612189586	1.5759332791326004e-07	0.0002772066637994244
K06960	-733.5528909057439	1.6139292922441156e-07	0.00028389016250573995
K03631	-508.9946088102796	1.6224453973976285e-07	0.00028538814540224284
K13280	-312.2116711609864	1.6239786876318295e-07	0.0002856578511544388
K01867	680.0090193839369	1.6373289551752876e-07	0.00028800616321533306
K00757	-468.5772141858305	1.6699953500567822e-07	0.000293752182074988
K09121	222.15812020553952	1.6993401839386572e-07	0.0002989139383548098
K03833	79.01492738610321	1.711660286597133e-07	0.0003010810444124357
K00048	-555.6848863365233	1.7665969078483104e-07	0.0003107443960905178
K03718	523.1203287146857	1.8115034101343135e-07	0.00031864344984262573
K01754	380.993599756159	1.8320793464116385e-07	0.0003222627570338072
K00901	86.23989019030336	1.9388678391436143e-07	0.00034104685290536175
K02037	291.0380610615222	2.0820355447754653e-07	0.00036623005232600436
K01439	115.10392276276784	2.0881756565828134e-07	0.0003673100979929169
K01026	74.92208266840515	2.1258978267761384e-07	0.00037394542772992275
K02427	178.84958363750138	2.2443489995205475e-07	0.0003947809890156643
K06411	-197.26604556341863	2.3269707754007037e-07	0.0004093141593929838
K08969	277.96152109117213	2.3299118759736717e-07	0.00040983149898376884
K03327	202.27420036324986	2.332879971260071e-07	0.0004103535869446465
K03571	424.53951585545224	2.3534727584544708e-07	0.0004139758582121414
K04517	146.57935132791064	2.3651248279871802e-07	0.000416025457242945
K00876	492.0392642951306	2.6124664765879184e-07	0.00045953285323181486
K03191	139.16401745210703	2.646759208358581e-07	0.00046556494475027434
K00793	141.77690601042121	2.652222595670619e-07	0.00046652595457846187
K05846	286.1052881659039	2.737715246642146e-07	0.00048156411188435353
K01878	478.0865915202616	2.7379920998944287e-07	0.00048161281037143003
K01952	457.6629340813504	2.9071878490962395e-07	0.0005113743426560285
K00979	-462.35360418068655	2.9166710359517267e-07	0.0005130424352239087
K01079	393.94339977618074	2.930326606415077e-07	0.000515444450068412
K07154	-232.587195486979	2.9383805893407123e-07	0.0005168611456650313
K19157	-1992.3699719991373	3.0033568425228687e-07	0.0005282904685997726
K00927	-646.1733776425394	3.128622221678814e-07	0.0005503246487933034
K02029	814.7985115622722	3.149534603380324e-07	0.000554003136734599
K02601	612.708311867085	3.1665647703761e-07	0.000556998743109156
K16509	1055.6488665954687	3.247820168997588e-07	0.0005712915677266758
K06191	644.9358955234601	3.2566760536466015e-07	0.0005728493178364372
K02115	-859.1698094057497	3.2879744119524905e-07	0.0005783546990624431
K17073	50.1962070295819	3.4906240600296305e-07	0.000614000772159212
K01596	-213.23686581278855	3.5134833473262375e-07	0.0006180217207946852
K02189	-264.0105430357919	3.749282154040464e-07	0.0006594987308957175
K01220	549.9491792053126	3.8091804443754757e-07	0.0006700348401656462
K07502	-108.48921565495024	3.8878339579571847e-07	0.0006838699932046688
K03413	-702.5390666641395	3.909727538065883e-07	0.0006877210739457888
K00929	-304.77690006448626	3.9388629123835225e-07	0.0006928459862882615
K01710	346.41232166349636	4.001545810408133e-07	0.0007038719080507906
K00930	-774.4316162993982	4.0197779250299483e-07	0.0007070789370127679
K03652	61.75910606853045	4.040144392666236e-07	0.0007106613986699909
K03684	76.02406738749443	4.130926497018906e-07	0.0007266299708256255
K06182	-250.7715934456411	4.1535922884103197e-07	0.0007306168835313752
K15738	75.4789447196051	4.2485903039402293e-07	0.0007473270344630864
K01429	164.0221470288629	4.328054307552574e-07	0.0007613047526984978
K07478	511.2756714313467	4.362059612819716e-07	0.000767286285894988
K02794	470.2097725462177	4.3904857813938767e-07	0.0007722864489471829
K00074	96.25570022382283	4.7597971327810084e-07	0.0008372483156561794
K09710	584.223197595466	4.82827216259614e-07	0.0008492930734006611
K05366	434.42319753696535	4.992219907111368e-07	0.0008781314816608898
K02033	444.22051527390227	5.012616005100391e-07	0.0008817191552971588
K01485	66.10620906853096	5.044074620211523e-07	0.0008872527256952069
K07304	367.7007521534266	5.048992499583595e-07	0.0008881177806767544
K01262	501.87213094907764	5.290677326395823e-07	0.0009306301417130252
K03763	482.3881651654163	5.355461182781483e-07	0.0009420256220512628
K01163	-141.8363981592335	5.727523207100335e-07	0.001007471332128949
K09749	-288.0154498715034	5.745777426000692e-07	0.0010106822492335218
K07636	-428.3892424449048	5.832605148212444e-07	0.001025955245570569
K00364	127.28186420382933	5.920052833212388e-07	0.001041337293362059
K03293	163.39038594719335	6.383838925392033e-07	0.0011229172669764585
K01223	1573.795093095634	6.593954885050821e-07	0.0011598766642804395
K01224	-140.53687715971517	6.785440585641768e-07	0.001193558999014387
K06969	-587.8583599297251	6.798624878740235e-07	0.0011958781161704073
K00024	-98.21315879468118	6.812042055117735e-07	0.0011982381974952098
K00566	-821.9097271689093	6.973296059227416e-07	0.0012266027768181025
K01496	326.1280622555117	7.107388872972619e-07	0.0012501897027558837
K00805	142.81128170898853	7.14634622434374e-07	0.0012570423008620639
K05896	493.1532067057659	7.287752414061623e-07	0.0012819156496334395
K10026	-369.04283075666945	7.439140015571797e-07	0.001308544728739079
K06131	564.8027496086639	7.562933439554489e-07	0.0013303199920176347
K01854	-638.5010281822379	7.865360254051229e-07	0.0013835168686876112
K02013	548.5063986054076	8.616746177966105e-07	0.001515685652704238
K02500	-600.7502929941693	8.906305964361156e-07	0.0015666192191311273
K02047	-461.47653197656575	8.959170981050142e-07	0.00157591817556672
K18672	132.05876713631812	8.975621760169336e-07	0.0015788118676137862
K11175	-295.3989962600701	9.131776408274846e-07	0.0016062794702155453
K06967	362.2109562119276	9.280554193956196e-07	0.001632449482716895
K02410	-331.6362249917811	1.023263377288968e-06	0.001799920280651295
K02019	138.99286358484036	1.0250943608825283e-06	0.0018031409807923672
K00347	-107.46888863081813	1.0421416077727545e-06	0.001833127088072275
K06394	-109.8288228918613	1.0928208523874693e-06	0.0019222718793495584
K07088	354.0981301554289	1.0958920733562808e-06	0.001927674157033698
K02793	459.6039201126231	1.1182828055871553e-06	0.0019670594550278064
K00705	-265.31999509188216	1.1439918068672841e-06	0.002012281588279553
K03550	-463.433244186037	1.1661640958466533e-06	0.002051282644594263
K02773	116.60939280883314	1.1980589078685632e-06	0.0021073856189408025
K03798	-1008.967769583568	1.2640663636683797e-06	0.00222349273369268
K03429	-274.47792171082534	1.3829624316235949e-06	0.0024326309172259036
K01711	-217.2389033984294	1.385571528412607e-06	0.0024372203184777758
K04096	114.39207089799606	1.3913291933302912e-06	0.002447348051067982
K04084	127.46093911703176	1.396138487215145e-06	0.00245580759901144
K08483	174.32120190905252	1.415404272009045e-06	0.00248969611446391
K00965	470.7340321727468	1.4174826756816291e-06	0.0024933520265239856
K21011	104.7620474325042	1.4248147831901562e-06	0.002506249203631485
K00763	399.0902640799807	1.5102071124936941e-06	0.002656454310876408
K02897	-311.3336428683964	1.5199677226572578e-06	0.0026736232241541167
K02407	-327.2281476091443	1.6610933193671776e-06	0.0029218631487668654
K06901	369.63438658386076	1.695532067765284e-06	0.0029824409071991347
K02887	-856.8026292284871	1.7167779527537245e-06	0.0030198124188938013
K07099	-126.75654635829414	1.7212812187698231e-06	0.0030277336638161187
K01953	147.08269325720582	1.7614616966615596e-06	0.003098411124427683
K01356	-472.57389614011277	1.836534131731711e-06	0.00323046353771608
K02017	174.7004183129057	1.8617578437526e-06	0.0032748320471608235
K00265	-486.6223224451778	1.8769252992883537e-06	0.003301511601448214
K02226	95.64772656773647	1.8948746279797084e-06	0.0033330844706163073
K02283	113.62059023766624	1.8978856935116176e-06	0.0033383809348869354
K15772	-394.9349391418071	1.931764148068388e-06	0.0033979731364522947
K00867	152.28277768889504	1.9520120372369232e-06	0.003433589173499748
K02160	458.44519446335175	1.9531360645680867e-06	0.0034355663375752648
K00941	117.45558800483236	1.964722534055793e-06	0.00345594693740414
K06382	-284.4024087444312	2.039081183902967e-06	0.003586743802485319
K03610	-380.4169107005536	2.122500653665498e-06	0.003733478649797611
K07308	74.90602306416241	2.156106798064015e-06	0.003792591857794602
K03608	-452.74157550038757	2.257697026908702e-06	0.003971289070332407
K15533	-492.2200267131277	2.2628244853300154e-06	0.003980308269695497
K01760	147.5165169958489	2.2815585253251443e-06	0.004013261446046929
K03647	492.0472248494927	2.3050922428458494e-06	0.004054657255165849
K03609	-326.99238202649724	2.306005826911036e-06	0.004056264249536512
K03575	-212.24251048609926	2.3299873738027183e-06	0.004098447790518982
K01092	291.28136186181393	2.4308360881554684e-06	0.004275840679065469
K07137	-868.7927723151583	2.4554994096750373e-06	0.004319223461618391
K03750	115.93077520368303	2.527346389732386e-06	0.004445602299539267
