,PC1,PC2,contribution
GGB3619,-0.010047187204375134,-0.11121729775442121,0.12126448495879635
Wansuia,0.0649467010877166,0.05503662114291826,0.11998332223063485
GGB2653,0.0751780686293896,0.042712873757302455,0.11789094238669205
Catenibacterium,-0.11506910948485494,0.0027301174026905907,0.11779922688754553
Bilophila,0.10530031589936198,-0.011245979334443584,0.11654629523380557
Anaerotignum,0.09263512484803473,-0.021489878566589467,0.1141250034146242
Eisenbergiella,0.05674707440996788,0.057259234354415975,0.11400630876438386
Adlercreutzia,0.07389336855930473,0.040051974291016826,0.11394534285032155
Neopoerus,0.07834905274861523,0.03498016455175082,0.11332921730036605
GGB49284,-0.06768572264528568,0.044479605341980796,0.11216532798726647
Roseburia,0.07537903236114205,0.03663401325214655,0.11201304561328859
GGB9189,0.05639318012675593,-0.05561657459515201,0.11200975472190794
GGB9603,-0.025739358039835968,-0.08600722297382166,0.11174658101365763
GGB9758,0.019606983936990813,-0.09156428588294381,0.11117126981993462
GGB81330,-0.028038460820087107,-0.08198166874710563,0.11002012956719275
GGB9766,-0.04323245579453079,-0.0663993308323655,0.1096317866268963
Parasutterella,0.06329628746424754,0.0461313930990421,0.10942768056328964
Weissella,-0.02130411808560322,0.08806806447699495,0.10937218256259816
GGB9690,-0.019661937186673747,-0.08904507928313053,0.10870701646980428
Escherichia,0.014100301788988214,0.09426834917911146,0.10836865096809968
Lentihominibacter,-0.0404870098549096,0.06746256848614848,0.10794957834105809
GGB9762,-0.03677504882016447,-0.07093036736518833,0.1077054161853528
GGB3862,-0.10679793119621489,0.0006070441497989857,0.10740497534601387
GGB40607,-0.025938871912210625,0.0813069186472674,0.10724579055947803
Paraprevotella,0.10610117102554016,0.0010751921469861325,0.1071763631725263
GGB9767,-0.026813529834844065,-0.07994612001721352,0.10675964985205758
GGB9719,0.05436337121070756,0.05215963664611901,0.10652300785682657
Pusillibacter,0.06326300960952573,0.04243353369556526,0.10569654330509098
GGB4266,-0.06652832746474782,-0.03893917604878576,0.10546750351353358
GGB4916,-0.06462657979967384,0.040810950306676266,0.10543753010635011
GGB1495,-0.013625013894470165,-0.09129628605863542,0.10492129995310559
Anaerobutyricum,-0.013574476942854383,0.09068936717452927,0.10426384411738365
